"region","PFAS","rho","p_value","p_adj","n","signif"
"FRGB","PFHxA",NA,NA,NA,17,NA
"FRGB","PFOA",0.145232116716068,0.578102038604138,0.962561068842158,17,"ns"
"FRGB","PFNA",-0.240002226776553,0.353489165027208,0.962561068842158,17,"ns"
"FRGB","PFDA",-0.0381542001542212,0.884408352161607,0.962561068842158,17,"ns"
"FRGB","PFDoA",0.171078510368927,0.511493621170318,0.962561068842158,17,"ns"
"FRGB","PFTriA",0.118154942413072,0.651524146954848,0.962561068842158,17,"ns"
"FRGB","PFTeA",0.226463639625055,0.382092393699051,0.962561068842158,17,"ns"
"FRGB","PFUnA",0.144001336065932,0.581362421720464,0.962561068842158,17,"ns"
"FRGB","PFHxS",0.0984624520108934,0.706943626389287,0.962561068842158,17,"ns"
"FRGB","PFOS",0.0425402033393126,0.871219162383976,0.962561068842158,17,"ns"
"FRGB","PFPeS",NA,NA,NA,17,NA
"FRGB","PFHPS",0.280790093729121,0.274967359198001,0.962561068842158,17,"ns"
"FRGB","PFDS",0.0541875619477251,0.836358281801758,0.962561068842158,17,"ns"
"GBLM","6:2 FTS",NA,NA,NA,19,NA
"GBLM","8:2 FTS",-0.0727437133116519,0.767269684142962,0.876879639020528,19,"ns"
"GBLM","FOSA",-0.370125914585915,0.118804896178788,0.262223352990957,19,"ns"
"GBLM","NEtFOSAA",0.34540972365979,0.147500636057414,0.262223352990957,19,"ns"
"GBLM","NMeFOSAA",0.34540972365979,0.147500636057414,0.262223352990957,19,"ns"
"GBLM","PFBA",0.252329755549793,0.297320659630082,0.432466414007392,19,"ns"
"GBLM","PFBS",NA,NA,NA,19,NA
"GBLM","PFHPA",NA,NA,NA,19,NA
"GBLM","PFHxA",NA,NA,NA,19,NA
"GBLM","PFOA",-0.0352426327194755,0.886105568197533,0.886105568197533,19,"ns"
"GBLM","PFNA",-0.0493613402677365,0.840952252118297,0.886105568197533,19,"ns"
"GBLM","PFDA",-0.362276979464994,0.127446745625149,0.262223352990957,19,"ns"
"GBLM","PFDoA",-0.215861125406787,0.374772610341485,0.461258597343366,19,"ns"
"GBLM","PFTriA",-0.322470089383201,0.178144397258008,0.285031035612812,19,"ns"
"GBLM","PFTeA",-0.370047643554493,0.118888957954411,0.262223352990957,19,"ns"
"GBLM","PFUnA",-0.454629962081234,0.0505121925129305,0.262223352990957,19,"ns"
"GBLM","PFHxS",-0.76025278537362,0.000158203768323469,0.0025312602931755,19,"p < 0.05"
"GBLM","PFOS",-0.516304569340316,0.023628112588729,0.189024900709832,19,"ns"
"GBLM","PFPeS",NA,NA,NA,19,NA
"GBLM","PFHPS",-0.383600270002788,0.10495608773995,0.262223352990957,19,"ns"
